Position,No,Name,Birthday,20221206-Club,20221206-MarketValue,20230710-Club,20230710-MarketValue
GK,1,KAWASHIMA Eiji,1983-03-20,Strasbourg,200k,Strasbourg,150k
GK,12,GONDA Shuichi,1989-03-03,Shimizu S-Pulse,500k,Shimizu S-Pulse,400k
GK,23,SCHMIDT Daniel,1992-02-03,Sint-Truiden,1.5m,Sint-Truiden,1.5m
DF,2,YAMANE Miki,1993-12-22,Kawasaki Frontale,1.7m,Kawasaki Frontale,1.6m
DF,3,TANIGUCHI Shogo,1991-07-15,Kawasaki Frontale,1.8m,Al-Rayyan,1.5m
DF,4,ITAKURA Ko,1997-01-27,Borussia Mönchengladbach,7.5m,Borussia Mönchengladbach,12m
DF,5,NAGATOMO Yuto,1986-09-12,FC Tokyo,400k,FC Tokyo,300k
DF,16,TOMIYASU Takehiro,1998-11-05,Arsenal,25m,Arsenal,25m
DF,19,SAKAI Hiroki,1990-04-12,Urawa Red Diamonds,1.7m,Urawa Red Diamonds,1.4m
DF,22,YOSHIDA Maya,1988-08-24,Schalke 04,1.5m,Schalke 04,900k
DF,26,ITO Hiroki,1999-05-12,VfB Stuttgart,5.5m,VfB Stuttgart,10m
MF,6,ENDO Wataru,1993-02-09,VfB Stuttgart,6.5m,VfB Stuttgart,6.5m
MF,7,SHIBASAKI Gaku,1992-05-28,Leganés,1m,Leganés,1m
MF,8,DOAN Ritsu,1998-06-16,SC Freiburg,12m,SC Freiburg,18m
MF,9,MITOMA Kaoru,1997-05-20,Brighton & Hove Albion,6m,Brighton & Hove Albion,32m
MF,10,MINAMINO Takumi,1995-01-16,Monaco,10m,Monaco,6m
MF,11,KUBO Takefusa,2001-06-04,Real Sociedad,12m,Real Sociedad,25m
MF,13,MORITA Hidemasa,1995-05-10,Sporting CP,7m,Sporting CP,12m
MF,14,ITO Junya,1993-03-09,Reims,9m,Reims,10m
MF,15,KAMADA Daichi,1996-08-05,Eintracht Frankfurt,30m,Eintracht Frankfurt,27m
MF,17,TANAKA Ao,1998-09-10,Fortuna Düsseldorf,1.8m,Fortuna Düsseldorf,2.5m
MF,24,SOMA Yuki,1997-02-25,Nagoya Grampus,1.2m,Casa Pia,1.2m
FW,18,ASANO Takuma,1994-11-10,"	VfL Bochum",3m,"	VfL Bochum",4m
FW,20,MACHINO Shuto,1999-09-30,Shonan Bellmare,1.2m,Holstein Kiel,1.5m
FW,21,UEDA Ayase,1998-08-28,Cercle Brugge,2m,Cercle Brugge,6m
FW,25,MAEDA Daizen,1997-10-20,Celtic,4m,Celtic,6m